geonameid;name;asciiname;latitude;longitude;feature code
3053024;Feked Vasúti Megállóhely;Feked Vasuti Megallohely;46,1502;18,5561;RSTP
3053031;Fehérvárcsurgó Vasúti Megállóhely;Fehervarcsurgo Vasuti Megallohely;47,2833;18,2833;RSTP
3053072;Farmos Vasúti Megállóhely;Farmos Vasuti Megallohely;47,3500;19,8500;RSTP
3053107;Farád Vasúti Megállóhely;Farad Vasuti Megallohely;47,5961;17,1962;RSTP
3053134;Fácánkert Vasúti Megállóhely;Facankert Vasuti Megallohely;46,4389;18,7431;RSTP
3053236;Erdőszél Vasúti Megállóhely;Erdoszel Vasuti Megallohely;46,3333;19,4000;RSTP
3053252;Erdőkertes Vasúti Megállóhely;Erdokertes Vasuti Megallohely;47,6630;19,2959;RSTP
3053273;Érdliget Vasúti Megállóhely;Erdliget Vasuti Megallohely;47,4000;18,9333;RSTP
3053274;Érd Felső Vasúti Megállóhely;Erd Felso Vasuti Megallohely;47,3833;18,9167;RSTP
3053356;Egyetemi Tangazdaság Vasúti Megállóhely;Egyetemi Tangazdasag Vasuti Megallohely;47,2500;18,9500;RSTP
3053397;Écs Vasúti Megállóhely;Ecs Vasuti Megallohely;47,5661;17,7203;RSTP
3053400;Ecser Vasúti Megállóhely;Ecser Vasuti Megallohely;47,4412;19,3141;RSTP
3053419;Dúzs Vasúti Megállóhely;Duzs Vasuti Megallohely;46,5000;18,3833;RSTP
3053433;Dunavarsány Vasúti Megállóhely;Dunavarsany Vasuti Megallohely;47,2667;19,0667;RSTP
