vonalId;sorszam;geoid
100b;16;713928
100b;17;8410977
100c;1;715299
100c;2;717631
100c;3;714972
100c;4;714656
100c;5;716203
100c;6;714735
100c;7;714011
100c;8;720456
100c;9;720825
100c;10;716892
100c;11;720684
100c;12;716931
101;1;716299
101;2;722553
101;3;715905
101;4;715326
101;5;720937
101;6;722279
102;1;719502
102;2;721118
102;3;722468
102;4;720001
102;5;719998
102;6;714943
102;7;716201
102;8;718908
102;9;718909
102;10;723043
102;11;718957
102;12;718320
102;13;722606
102;14;720725
102;15;719249
102;16;718743
103;1;719397
103;2;719398
103;3;719402
103;4;722340
103;5;718314
103;6;716275
103;7;714713
103;8;714709
103;9;716289
103;10;714770
105;1;721463
105;2;721466
105;3;721468
105;4;717407
105;5;720254
105;6;714264
105;7;715343
105;8;716953
106;1;721463
106;2;721465
106;3;715312
106;4;715309
106;5;717614
106;6;715902
106;7;721425
106;8;721426
106;9;718598
106;10;715919
106;11;722707
106;12;716371
106;13;718887
106;14;717266
107;1;721463
107;2;721465
107;3;715312
107;4;715309
107;5;717614
107;6;715902
107;7;720294
107;8;719842
107;9;717520
107;10;718112
108;1;721463
108;2;721464
108;3;8426433
108;4;718894
108;5;718172
108;6;717986
108;7;717321
108;8;714887
108;9;722635
108;10;718594
108;11;719885
108;12;719889
108;13;720367
108;14;716855
108;15;721207
108;16;714770
108;17;716338
108;18;719094
108;19;721230
108;20;717637
108;21;720686
109;1;721463
109;2;721464
109;3;721469
109;4;8426433
109;5;719584
109;6;720278
109;7;713909
109;8;720291
109;9;720271
109;10;720289
109;11;720282
109;12;720283
109;13;714918
109;14;714691
109;15;721203
109;16;714740
110;1;721463
110;2;721471
110;3;722853
110;4;721310
110;5;720279
110;6;714993
110;7;714683
110;8;722838
110;9;716950
110;10;716902
110;11;716925
110;12;716944
110;13;716947
110;14;716938
110;15;719966
110;16;716904
110;17;717770
111;1;717770
111;2;716792
111;3;717398
111;4;713987
111;5;714186
111;6;718734
111;7;720313
111;8;722821
111;9;714454
111;10;714592
111;11;717852
111;12;713928
113;1;716931
113;2;717278
113;3;719492
113;4;717823
113;5;716947
113;6;716938
113;7;719966
113;8;716904
113;9;717770
113;10;718693
113;11;714516
113;12;720987
113;13;716495
113;14;717134
113;15;718806
113;16;719684
113;17;720647
113;18;713922
114;1;717770
114;2;718693
114;3;720338
114;4;716843
114;5;716341
114;6;716523
114;7;721786
115;1;717770
115;2;716940
115;3;717395
115;4;714819
115;5;723011
116;1;716931
116;2;716726
116;3;717041
116;4;722850
116;5;718106
116;6;716859
116;7;718086
116;8;722681
116;9;714291
116;10;716190
116;11;716907
116;12;718573
116;13;714186
117;1;716855
117;2;717222
117;3;714784
117;4;721744
117;5;718889
117;6;714414
117;7;720764
117;8;720479
117;9;716353
117;10;716134
117;11;714778
117;12;714781
117;13;714741
117;14;714740
117;15;718980
117;16;714775
117;17;722497
